year,title,genre,format,CSM target_age,imdb_rating,slope_(1/f),aspect_ratio,dur_(min),shots,ASL,Luminance,Motion,clutter,saturation,char/shot,ave_scale,narr_shifts,%intertitles,lum_w/_titles,mo_w/_titles,clut_w/_titles
1988,Oliver and Company              ,kids,animation,5,,,,74,1160,3.6,137,0.91,,0.55,,,,,,,
1988,The Land Before Time            ,kids,animation,6,,,,67,585,6.4,125,0.96,,0.45,,,,,,,
1988,The New Adventures of Pippi Longstocking       ,kids,live,7,,,,100,1275,4.6,123,0.94,,0.33,,,,,,,
1989,All Dogs Go to Heaven     ,kids,animation,8,,,,89,1004,5.9,126,0.96,,0.51,,,,,,,
1989,Prancer                                  ,kids,live,7,,,,103,1218,4.8,107,0.96,,0.39,,,,,,,
1989,The Little Mermaid                  ,kids,animation,5,,,,83,1408,3.3,124,0.93,,0.57,,,,,,,
1990,DuckTales the Movie: Treature Lost Lamp           ,kids,animation,5,,,,74,1117,3.5,138,0.86,,0.59,,,,,,,
1990,The Jetsons Movie               ,kids,animation,4,,,,82,990,4.5,120,0.90,,0.53,,,,,,,
1990,The Rescuers Down Under      ,kids,animation,6,,,,77,1025,4.3,130,0.94,,0.44,,,,,,,
1991,All I Want for Christmas      ,kids,live,10,,,,92,873,6.1,109,0.96,,0.38,,,,,,,
1991,An American Tail: Fievel Goes West              ,kids,animation,5,,,,76,901,4.5,118,0.91,,0.58,,,,,,,
1991,Beauty and the Beast           ,kids,animation,6,,,,84,1375,3.7,132,0.93,,0.64,,,,,,,
1992,Aladdin                               ,kids,animation,6,,,,90,1456,3.5,117,0.93,,0.8,,,,,,,
1992,FernGully: The Last Rainforest   ,kids,animation,6,,,,76,1006,4.2,127,0.94,,0.51,,,,,,,
1992,The Muppet Christmas Carol     ,kids,live,5,,,,85,866,5.8,105,0.94,,0.41,,,,,,,
1993,Homeward Bound: The Incredible Journey                 ,kids,live,6,,,,84,1456,3.3,113,0.95,,0.51,,,,,,,
1993,The Secret Garden                    ,kids,live,8,,,,102,848,7.0,90,0.96,,0.49,,,,,,,
1993,We’re Back! A Dinosaur’s Story,kids,animation,6,,,,71,794,4.8,110,0.93,,0.59,,,,,,,
1994,The Land Before Time 2: Valley Adventure,kids,animation,5,,,,73,879,6.1,144,0.97,,0.4,,,,,,,
1994,The Lion King                           ,kids,animation,6,,,,89,1202,4.2,132,0.95,,0.63,,,,,,,
1994,The Pagemaster                       ,kids,live,7,,,,80,932,4.3,117,0.95,,0.49,,,,,,,
1994,Thumbelina                            ,kids,animation,5,,,,86,822,5.9,128,0.95,,0.52,,,,,,,
1995,Babe                                     ,kids,live,6,,,,92,1336,3.9,102,0.96,,0.78,,,,,,,
1996,101 Dalmatians                     ,kids,live,,,,,103,1661,3.5,113,0.93,,0.36,,,,,,,
1996,Muppet Treasure Island        ,kids,live,5,,,,99,1258,4.4,90,0.90,,0.53,,,,,,,
1996,The Hunchback of Notre Dame ,kids,animation,8,,,,91,1536,3.3,116,0.95,,0.62,,,,,,,
1997,Anastasia                               ,kids,animation,6,,,,94,1352,3.8,145,0.95,,0.68,,,,,,,
1997,Cats Don’t Dance               ,kids,animation,5,,,,120,1122,3.7,128,0.94,,0.65,,,,,,,
1997,Hercules                             ,kids,animation,7,,,,92,1617,3.2,112,0.93,,0.63,,,,,,,
1997,The Land Before Time 5: Mysterious Island,kids,animation,5,,,,74,925,4.5,162,0.96,,0.63,,,,,,,
1998,A Bug’s Life                   ,kids,animation,5,,,,96,1617,3.3,144,0.93,,0.48,,,,,,,
1998,Mulan                                ,kids,animation,5,,,,88,1332,3.6,148,0.94,,0.45,,,,,,,
1998,The Rugrats Movie         ,kids,animation,6,,,,81,1166,3.8,134,0.89,,0.44,,,,,,,
1999,Pokemon: The First Movie   ,kids,animation,6,,,,96,963,4.4,150,0.95,,0.54,,,,,,,
1999,Tarzan                               ,kids,animation,6,,,,88,1581,3.1,118,0.94,,0.5,,,,,,,
1999,Toy Story 2                  ,kids,animation,5,,,,92,1423,3.6,133,0.94,,0.44,,,,,,,
2000,Rugrats in Paris            ,kids,animation,6,,,,78,1249,3.5,119,0.91,,0.45,,,,,,,
2000,The Emperor’s New Groove   ,kids,animation,6,,,,78,1158,3.7,133,0.96,,0.49,,,,,,,
2001,Jimmy Neutron: Boy Genius          ,kids,animation,6,,,,82,1268,3.7,115,0.93,,0.46,,,,,,,
2001,"Monsters, Inc.        ",kids,animation,5,,,,90,1403,3.6,88,0.84,,0.54,,,,,,,
2001,The Princess Diaries      ,kids,live,8,,,,114,1445,4.6,131,0.97,,0.29,,,,,,,
2002,Spirit: Stallion of the Cimarron,kids,animation,6,,,,82,1680,2.7,156,0.93,,0.44,,,,,,,
2002,The Rookie                 ,kids,live,7,,,,129,1971,3.8,141,0.95,,0.28,,,,,,,
2002,The Santa Clause 2       ,kids,live,7,,,,105,1890,3.1,121,0.96,,0.42,,,,,,,
2003,Brother Bear              ,kids,animation,5,,,,85,1212,3.8,136,0.95,,0.55,,,,,,,
2003,Finding Nemo          ,kids,animation,5,,,,104,1440,3.8,130,0.94,,0.68,,,,,,,
2003,The Jungle Book 2        ,kids,animation,4,,,,88,1183,3.3,129,0.94,,0.6,,,,,,,
2003,The Land Before Time 10: Longneck Migration,kids,animation,5,,,,84,981,4.0,157,0.98,,0.6,,,,,,,
2004,Clifford’s Really Big Movie       ,kids,animation,4,,,,73,1465,2.8,136,0.95,,0.71,,,,,,,
2004,The Polar Express                   ,kids,animation,6,,,,100,869,6.3,98,0.90,,0.56,,,,,,,
2004,The Princess Diaries 2: A royal engagement,kids,live,6,,,,113,1320,4.8,125,0.97,,0.39,,,,,,,
2005,Herbie Fully Loaded                ,kids,live,6,,,,92,2228,2.6,132,0.93,,0.41,,,,,,,
2005,The March of the Penguins     ,kids,live,6,,,,85,575,8.0,147,0.98,,0.32,,,,,,,
2006,Cars                               ,kids,animation,5,,,,116,1688,3.8,118,0.92,,0.37,,,,,,,
2006,Charlotte’s Web               ,kids,live,5,,,,94,1428,3.6,122,0.97,,0.53,,,,,,,
2006,The Santa Clause 3: The Escape Clause     ,kids,live,7,,,,98,1535,3.3,125,0.95,,0.49,,,,,,,
2007,Meet the Robinsons          ,kids,animation,4,,,,92,1657,3.1,152,0.94,,0.66,,,,,,,
2007,Mr. Bean’s Holiday          ,kids,live,6,,,,90,1257,3.8,155,0.94,,0.37,,,,,,,
2007,Ratatouille                  ,kids,animation,5,,,,111,1627,3.7,112,0.96,,0.47,,,,,,,
2008,High School Musical 3: Senior Year      ,kids,live,8,,,,100,1625,3.9,122,0.93,,0.57,,,,,,,
2008,Horton Hears a Who?        ,kids,animation,4,,,,88,1504,3.2,149,0.93,,0.42,,,,,,,
2008,The Little Mermaid: Ariel's Beginning           ,kids,animation,5,,,,70,1297,3.2,133,0.96,,0.52,,,,,,,
2008,Wall*E,kids,animation,5,,,,97,1398,3.8,136,0.96,,0.38,,,,,,,
